Opening Time,Order No.,Symbol,Filled Qty
2022-02-27 00:41:45,04ba5ce2,LINKUSDT,314.0
2022-02-27 00:42:01,04ba5ce2,LINKUSDT,286.0
2022-03-16 00:00:17,08cf4e76,BTCUSDT,1.687
2022-05-04 10:27:35,0979baa2,NEARUSDT,1100.0
2022-02-24 20:06:23,0c6c82c1,BTCUSDT,0.413
2022-04-25 11:35:32,0caec7c8,DOGEUSDT,64641.0
2022-04-25 11:35:33,0caec7c8,DOGEUSDT,6165.0
2022-04-25 11:35:34,0caec7c8,DOGEUSDT,22511.0
2022-04-25 11:35:48,0caec7c8,DOGEUSDT,7758.0
2022-04-25 11:35:49,0caec7c8,DOGEUSDT,200.0
2022-04-25 11:35:50,0caec7c8,DOGEUSDT,4380.0
2022-04-25 11:35:51,0caec7c8,DOGEUSDT,3640.0
2022-04-25 11:35:53,0caec7c8,DOGEUSDT,90705.0
2022-03-14 23:58:10,10c47131,SOLUSDT,119.6
2022-03-06 10:40:47,160c138b,GALAUSDT,6983.0
2022-03-06 10:40:49,160c138b,GALAUSDT,58.0
2022-03-06 10:40:55,160c138b,GALAUSDT,37959.0
2022-04-08 22:44:40,17427672,ADAUSDT,9969.0
2022-03-06 02:36:26,1ae7e024,RUNEUSDT,1800.0
2022-03-14 23:58:10,28569a82,COMPUSDT,100.0
2022-04-19 15:00:44,28ed9b1e,LUNAUSDT,80.7
2022-04-19 15:01:02,28ed9b1e,LUNAUSDT,60.0
2022-04-19 15:01:04,28ed9b1e,LUNAUSDT,184.3
2022-04-09 12:19:43,354b9abf,ADAUSDT,9969.0
2022-02-27 00:39:01,385e9c26,FTMUSDT,4200.0
2022-05-09 10:27:04,385ec159,KNCUSDT,5200.0
2022-03-13 23:40:25,38e283cd,FILUSDT,23.6
2022-03-13 23:49:21,38e283cd,FILUSDT,490.1
2022-04-09 12:20:46,39892b4f,UNIUSDT,137.5
2022-04-09 12:22:23,39892b4f,UNIUSDT,1823.6
2022-05-04 18:48:40,39a54444,ADAUSDT,32182.0
2022-02-24 20:17:32,39c598de,FILUSDT,500.0
2022-02-27 14:43:42,3d3e0d67,UNIUSDT,900.0
2022-05-15 12:16:51,3dbe3d3c,ZECUSDT,51.59
2022-05-15 12:16:56,3dbe3d3c,ZECUSDT,68.41
2022-05-04 11:02:18,3e67298f,BCHUSDT,221.27
