Order No.,Opening Time,Symbol,Filled Qty
04ba5ce2,2022-02-27 00:41:45,LINKUSDT,314.0
04ba5ce2,2022-02-27 00:42:01,LINKUSDT,286.0
08cf4e76,2022-03-16 00:00:17,BTCUSDT,1.687
0979baa2,2022-05-04 10:27:35,NEARUSDT,1100.0
0c6c82c1,2022-02-24 20:06:23,BTCUSDT,0.413
0caec7c8,2022-04-25 11:35:32,DOGEUSDT,64641.0
0caec7c8,2022-04-25 11:35:33,DOGEUSDT,6165.0
0caec7c8,2022-04-25 11:35:34,DOGEUSDT,22511.0
0caec7c8,2022-04-25 11:35:48,DOGEUSDT,7758.0
0caec7c8,2022-04-25 11:35:49,DOGEUSDT,200.0
0caec7c8,2022-04-25 11:35:50,DOGEUSDT,4380.0
0caec7c8,2022-04-25 11:35:51,DOGEUSDT,3640.0
0caec7c8,2022-04-25 11:35:53,DOGEUSDT,90705.0
10c47131,2022-03-14 23:58:10,SOLUSDT,119.6
160c138b,2022-03-06 10:40:47,GALAUSDT,6983.0
160c138b,2022-03-06 10:40:49,GALAUSDT,58.0
160c138b,2022-03-06 10:40:55,GALAUSDT,37959.0
17427672,2022-04-08 22:44:40,ADAUSDT,9969.0
1ae7e024,2022-03-06 02:36:26,RUNEUSDT,1800.0
28569a82,2022-03-14 23:58:10,COMPUSDT,100.0
28ed9b1e,2022-04-19 15:00:44,LUNAUSDT,80.7
28ed9b1e,2022-04-19 15:01:02,LUNAUSDT,60.0
28ed9b1e,2022-04-19 15:01:04,LUNAUSDT,184.3
354b9abf,2022-04-09 12:19:43,ADAUSDT,9969.0
385e9c26,2022-02-27 00:39:01,FTMUSDT,4200.0
385ec159,2022-05-09 10:27:04,KNCUSDT,5200.0
38e283cd,2022-03-13 23:40:25,FILUSDT,23.6
38e283cd,2022-03-13 23:49:21,FILUSDT,490.1
39892b4f,2022-04-09 12:20:46,UNIUSDT,137.5
39892b4f,2022-04-09 12:22:23,UNIUSDT,1823.6
39a54444,2022-05-04 18:48:40,ADAUSDT,32182.0
39c598de,2022-02-24 20:17:32,FILUSDT,500.0
3d3e0d67,2022-02-27 14:43:42,UNIUSDT,900.0
3dbe3d3c,2022-05-15 12:16:51,ZECUSDT,51.59
3dbe3d3c,2022-05-15 12:16:56,ZECUSDT,68.41
3e67298f,2022-05-04 11:02:18,BCHUSDT,221.27
418078eb,2022-03-15 00:08:36,BTCUSDT,1.6869999999999998
41972656,2022-03-07 14:06:14,ILVUSDT,0.33
41972656,2022-03-07 14:06:49,ILVUSDT,3.68
41972656,2022-03-07 14:07:00,ILVUSDT,2.0
41972656,2022-03-07 14:07:21,ILVUSDT,4.02
41972656,2022-03-07 14:07:22,ILVUSDT,1.2
41972656,2022-03-07 14:08:08,ILVUSDT,4.02
41972656,2022-03-07 14:08:16,ILVUSDT,4.02
41972656,2022-03-07 14:08:24,ILVUSDT,3.65
41972656,2022-03-07 14:08:32,ILVUSDT,7.01
433ee29a,2022-03-14 23:58:10,AXSUSDT,180.0
