,Symbol,Order No.,Opening Time,Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
0,CROUSDT,850-Sell,2022-05-16 08:00:00,5,Open Short,--,Funding,27600.0,0.18793,0.00000,-7.691e-05,-0.39892201,b4c3bf8e
1,ZECUSDT,850-Sell,2022-05-16 08:00:00,10,Open Short,--,Funding,120.0,105.72,0.00,0.00018202,2.30917853,a80d39f7
2,CROUSDT,850-Sell,2022-05-16 00:00:00,5,Open Short,--,Funding,27600.0,0.20351,0.00000,0.00038664,2.17170894,4d4440b3
3,ZECUSDT,850-Sell,2022-05-16 00:00:00,10,Open Short,--,Funding,120.0,112.56,0.00,0.00017086,2.3078402,9d2fda5f
4,CROUSDT,f8508d3f,2022-05-15 21:37:14,5,Open Short,Limit,Trade,3993.0,0.2046,0.20460,0.0001,0.08169678,0572de05
5,CROUSDT,f8508d3f,2022-05-15 21:37:13,5,Open Short,Limit,Trade,4507.0,0.2046,0.20460,0.0001,0.09221322,6e693091
6,CROUSDT,f8508d3f,2022-05-15 21:37:13,5,Open Short,Limit,Trade,19100.0,0.2046,0.20460,0.0001,0.390786,ddd0fe7b
7,ZECUSDT,850-Sell,2022-05-15 16:00:00,10,Open Short,--,Funding,120.0,104.39,0.00,0.00081998,10.27172547,98d38e09
8,ZECUSDT,3dbe3d3c,2022-05-15 12:16:56,10,Open Short,Limit,Trade,68.41,108.95,108.95,0.0001,0.74532695,20004ab9
9,ZECUSDT,3dbe3d3c,2022-05-15 12:16:51,10,Open Short,Limit,Trade,51.59,108.95,108.95,0.0001,0.56207305,31fa14a5
10,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.01,29200.0,Market,0.0006,0.1752,b51663a0
11,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.06,29200.0,Market,0.0006,1.0512,1d292d66
12,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.184,29200.0,Market,0.0006,3.22368,65bc3d51
13,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.031,29200.0,Market,0.0006,0.54312,32e1897f
14,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.067,29200.0,Market,0.0006,1.17384,e7e424ec
15,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.001,29200.0,Market,0.0006,0.01752,da8c54c1
16,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.005,29200.0,Market,0.0006,0.0876,435b0c37
17,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.5,29200.0,Market,0.0006,8.76,695c39c5
18,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.033,29200.0,Market,0.0006,0.57816,55e151b0
19,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.025,29200.0,Market,0.0006,0.438,92c7847f
20,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.003,29200.0,Market,0.0006,0.05256,f18839bd
21,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.12,29200.0,Market,0.0006,2.1024,933bd651
22,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.1,29200.0,Market,0.0006,1.752,d3aa5c2e
23,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.025,29200.0,Market,0.0006,0.438,1c53d1fb
24,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.052,29200.0,Market,0.0006,0.91104,09919b14
25,BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.073,29200.0,Market,0.0006,1.27896,d9de7c3b
26,BTCUSDT,a7a348f5,2022-05-11 12:31:15,7,Open Long,Limit,Trade,0.617,30900.0,30900.00,0.0001,1.90653,7fc890cd
27,BTCUSDT,6850-Buy,2022-05-11 08:00:00,7,Open Long,--,Funding,0.672,30608.27,0.00,0.0001,2.05687575,279344f3
28,BTCUSDT,6850-Buy,2022-05-11 00:00:00,7,Open Long,--,Funding,0.672,31015.33,0.00,0.0001,2.08423018,b91db2a1
29,BTCUSDT,d4098d8f,2022-05-10 19:09:53,7,Open Long,Limit,Trade,0.672,31550.0,31550.00,0.0001,2.12016,29671a9e
30,BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,1.113,30859.5,Market,0.0006,20.6079741,25dd817f
31,BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.003,30860.0,Market,0.0006,0.055548,1cb9a88c
32,BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.096,30860.0,Market,0.0006,1.777536,585f2f9c
33,BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.005,30860.0,Market,0.0006,0.09258,b8f63e09
34,BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.04,30860.0,Market,0.0006,0.74064,27bde948
